käsite;käsitesuhde;lähikäsite
suomulehti;yläkäsite;lehti
suomumainen;yläkäsite;elin; lehti
suomumainen;;suomu
suomumainen;;kalvomainen
suoni;koostumussuhteinen yläkäsite;lehti
suoni;yläkäsite;sivusuoni
suoni;yläkäsite;keskisuoni
suonitus;koostumussuhteinen yläkäsite;lehti
suonitus;;silposuoninen
suonitus;;kourasuoninen
suonitus;;sulkasuoninen
suonitus;;verkkosuoninen
suonitus;;korkosuoninen
surkastunut;yläkäsite;elin; lehti
surkastunut;;kuihtuva
tasaparinen;yläkäsite;parilehdykkäinen
tasaparinen;yläkäsite;parilehdykkäinen
tasaparinen;vieruskäsite;päätöparinen
tasaparinen;vieruskäsite;vuorolehdykkäinen
tasaparinen;vieruskäsite;välilehdykkäinen
tasasoukka;yläkäsite;lehtilavan muoto
tasasoukka;;pitkulainen
tasasoukka;;soikea
tasasoukka;;suikea
tasasoukka;;puikea
tasasoukka;;pyöreä
tasasoukka;;neulasmainen
teriö;koostumussuhteinen yläkäsite;kukka
teriö;koostumussuhteinen yläkäsite;kehä
teriö;koostumussuhteinen vieruskäsite;verhiö
teriö;koostumussuhteinen alakäsite;terälehti
terälehti;yläkäsite;kukkalehti
terälehti;koostumussuhteinen yläkäsite;teriö
terälehti;yläkäsite;kehälehti
terälehti;vieruskäsite;verholehti
terälehti;koostumussuhteinen yläkäsite;teriö
terälehti;koostumussuhteinen yläkäsite;kehä
terävä;yläkäsite;lehden kärki
terävä;vieruskäsite;tylppä
toissahainen;yläkäsite;lehtilaita
toissahainen;yläkäsite;sahalaitainen
toissahainen;yläkäsite;vieruskäsite
toissahainen;;lehtilaita
tukilehti;yläkäsite;lehti
tukilehti;yläkäsite;suojuslehti
tukilehti;;silmusuomu
tuppimainen;yläkäsite;lehti
tuppimainen;;lehtituppi
tylppä;yläkäsite;lehden kärki; lehden tyvi
tylppä;vieruskäsite;terävä
tähkäsuomu;yläkäsite;lehti
tähkäsuomu;koostumussuhteinen yläkäsite;tähkä
tähkäsuomu;yläkäsite;tukilehti
tähkäsuomu;;suomu
tähkäsuomu;koostumussuhteinen yläkäsite;tähkä
ulkohelve;yläkäsite;lehti
ulkohelve;koostumussuhteinen yläkäsite;tähkylä
ulkohelve;vieruskäsite;sisähelve
ulkohelve;yläkäsite;helve
ulkosuomu;yläkäsite;lehti
ulkosuomu;koostumussuhteinen yläkäsite;mykerö
ulkosuomu;koostumussuhteinen yläkäsite;mykerö
ulkosuomu;yläkäsite;alalehti
uposlehti;yläkäsite;vesikasvin lehti
uposlehti;vieruskäsite;ilmalehti
uposlehti;vieruskäsite;kelluslehti
uposlehti;;uposlehtinen
varsilehti;yläkäsite;lehti
varsilehti;vieruskäsite;aluslehti
varsilehti;yläkäsite;kasvulehti
vastaherttamainen;yläkäsite;lehtilavan muoto
vastaherttamainen;vieruskäsite;herttamainen
