termi;käsite;käännettävyys;kieli;sanaluokka;sanamuoto;perussanatyyppi;johdostyyppi;status;etymologia
kerrannainen;kerrannainen;;suomi;adjektiivi;yhdistämätön;;-nnAinen;;
kerrottu;kerrannainen;;suomi;adjektiivi;yhdistämätön;;-ttU;;
samsettur;kerrannainen;=;islanti;;;;;;
samansettur;kerrannainen;=;fääri;;;;;;
sammensat;kerrannainen;=;tanska;;;;;;
sammensatt;kerrannainen;=;norja;;;;;;
compound;kerrannainen;=;englanti;;;;;;
sammansatt;kerrannainen;=;ruotsi;;;;;;
kerrannaislehti;kerrannaislehti;;suomi;substantiivi;yhdyssana;;;;
kerrannainen lehti;kerrannaislehti;;suomi;substantiivi;sanaliitto;;;;
compound leaf;kerrannaislehti;=;englanti;;;;;;
sammansatt blad;kerrannaislehti;=;ruotsi;;;;;;
keskiranka;keskiranka;;suomi;substantiivi;yhdyssana;;;;
blómskipunarleggur;keskiranka;=;islanti;;;;;;
blómskipunarstöngull;keskiranka;=;islanti;;;;;;
miðstrengur samsetts blaðs;keskiranka;=;islanti;;;;;;
blómuskipanarleggur;keskiranka;=;fääri;;;;;;
blomsterstandakse,;keskiranka;=;tanska;;;;;;
blomsterstandsakse;keskiranka;=;norja;;;;;;
hovedakse;keskiranka;=;norja;;;;;;
rachis;keskiranka;=;englanti;;;;;;
rhachis;keskiranka;=;englanti;;;;;;
axis;keskiranka;=;englanti;;;;;;
axel;keskiranka;=;ruotsi;;;;;;
rhachis;keskiranka;=;ruotsi;;;;;;
huvudaxel (i blomställning; även huvudaxeln i ett sammansatt blad);keskiranka;=;ruotsi;;;;;;
keskisuoni;keskisuoni;;suomi;substantiivi;yhdyssana;;;;
miðstrengur;keskisuoni;=;islanti;;;;;;
miðtaug;keskisuoni;=;islanti;;;;;;
miðæðr;keskisuoni;=;fääri;;;;;;
midtribbe;keskisuoni;=;tanska;;;;;;
midtnerve;keskisuoni;=;tanska;;;;;;
midtnerve;keskisuoni;=;norja;;;;;;
midrib;keskisuoni;=;englanti;;;;;;
mittnerv;keskisuoni;=;ruotsi;;;;;;
mittsträng;keskisuoni;=;ruotsi;;;;;;
huvudnerv;keskisuoni;=;ruotsi;;;;;;
keulamainen;keulamainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
säteittäinen;säteittäinen;;suomi;adjektiivi;yhdistämätön;;-ttAinen;;
whorled;säteittäinen;=;englanti;;;;;;
strålformig;säteittäinen;=;ruotsi;;;;;;
kransstälda;säteittäinen;=;ruotsi;;;;;;
kielekekorvake;kielekekorvake;;suomi;substantiivi;yhdyssana;;;;
kierteinen (lehtiasento);kierteinen (lehtiasento);;suomi;adjektiivi;yhdistämätön;;-inen;;
stakstæýur;kierteinen (lehtiasento);=;islanti;;;;;;
misstaddur;kierteinen (lehtiasento);=;fääri;;;;;;
alternerende;kierteinen (lehtiasento);=;tanska;;;;;;
